code	name	full_name	abbreviation	alternative_name	capital
AFG	Afghanistan	Islamic Republic of Afghanistan			Kabul
ALA	Åland Islands	Åland Islands		Aland Islands
ALB	Albania	Republic of Albania			Tirana
DZA	Algeria	People's Democratic Republic of Algeria			Algiers
ASM	American Samoa	American Samoa
AND	Andorra	Principality of Andorra			Andorra la Vella
AGO	Angola	Republic of Angola			Luanda
AIA	Anguilla	Anguilla
ATG	Antigua and Barbuda	Antigua and Barbuda		Saint John's
ARG	Argentina	Argentine Republic			Buenos Aires
ARM	Armenia	Republic of Armenia			Yerevan
ABW	Aruba
AUS	Australia	Commonwealth of Australia			Canberra
AUT	Austria	Republic of Austria			Vienna
AZE	Azerbaijan	Republic of Azerbaijan			Baku
BHS	Bahamas	Commonwealth of The Bahamas			Nassau
BHR	Bahrain	Kingdom of Bahrain			Manama
BGD	Bangladesh	People's Republic of Bangladesh			Dhaka
BRB	Barbados	Barbados			Bridgetown
BLR	Belarus	Republic of Belarus			Minsk
BEL	Belgium	Kingdom of Belgium			Brussels
BLZ	Belize	Belize			Belmopan
BEN	Benin	Republic of Benin			Porto-Novo
BMU	Bermuda
BTN	Bhutan	Kingdom of Bhutan			Thimphu
BOL	Bolivia	Plurinational State of Bolivia			La Paz
BES	Bonaire, Sint Eustatius and Saba
BIH	Bosnia and Herzegovina	Bosnia and Herzegovina			Sarajevo
BWA	Botswana	Republic of Botswana			Gaborone
BRA	Brazil	Federative Republic of Brazil			Brasília
VGB	British Virgin Islands
BRN	Brunei	Brunei Darussalam			Bandar Seri Begawan
BGR	Bulgaria	Republic of Bulgaria			Sofia
BFA	Burkina Faso	Burkina Faso			Ouagadougou
BDI	Burundi	Republic of Burundi			Bujumbura
CPV	Cabo Verde	Republic of Cabo Verde		Cape Verde	Praia
KHM	Cambodia	Kingdom of Cambodia			Phnom Penh
CMR	Cameroon	Republic of Cameroon			Yaoundé
CAN	Canada	Canada			Ottawa
CYM	Cayman Islands
CAF	Central African Republic	Central African Republic			Bangui
TCD	Chad	Republic of Chad			N'Djamena
CHL	Chile	Republic of Chile			Santiago
CHN	China	People's Republic of China			Beijing
HKG	Hong Kong	Hong Kong Special Administrative Region		China, Hong Kong
MAC	Macao	Macao Special Administrative Region		China, Macao
COL	Colombia	Republic of Colombia			Bogotá
COM	Comoros	Union of the Comoros			Moroni
COG	Congo	Republic of the Congo		West Congo, Congo-Brazzaville	Brazzaville
COK	Cook Islands
CRI	Costa Rica	Republic of Costa Rica			San José
CIV	Côte d'Ivoire	Côte d'Ivoire		Cote d'Ivoire, Ivory Coast	Yamoussoukro
HRV	Croatia	Republic of Croatia			Zagreb
CUB	Cuba	Republic of Cuba			Havana
CUW	Curaçao			Curacao, Kòrsou, Korsou
CYP	Cyprus	Republic of Cyprus			Nicosia
CZE	Czech Republic	Czech Republic			Prague
PRK	North Korea	Democratic People's Republic of Korea	Rep, Dem		Pyongyang
COD	Democratic Republic of the Congo	Democratic Republic of the Congo	DRC, DROC, RDC, Dem, Rep	East Congo, Congo-Kinshasa	Kinshasa
DNK	Denmark	Kingdom of Denmark			Copenhagen
DJI	Djibouti	Republic of Djibouti			Djibouti
DMA	Dominica	Commonwealth of Dominica			Roseau
DOM	Dominican Republic	Dominican Republic			Santo Domingo
ECU	Ecuador	Republic of Ecuador			Quito
EGY	Egypt	Arab Republic of Egypt			Cairo
SLV	El Salvador	Republic of El Salvador			San Salvador
GNQ	Equatorial Guinea	Republic of Equatorial Guinea			Malabo
ERI	Eritrea	State of Eritrea			Asmara
EST	Estonia	Republic of Estonia			Tallinn
ETH	Ethiopia	Federal Democratic Republic of Ethiopia			Addis Ababa
FRO	Faeroe Islands
FLK	Falkland Islands	Falkland Islands		Malvinas
FJI	Fiji	Republic of Fiji			Suva
FIN	Finland	Republic of Finland			Helsinki
FRA	France	French Republic			Paris
GUF	French Guiana
PYF	French Polynesia
GAB	Gabon	Gabonese Republic			Libreville
GMB	Gambia	Republic of The Gambia			Banjul
GEO	Georgia	Georgia			Tbilisi
DEU	Germany	Federal Republic of Germany		Federal German Republic	Berlin
GHA	Ghana	Republic of Ghana			Accra
GIB	Gibraltar
GRC	Greece	Hellenic Republic			Athens
GRL	Greenland
GRD	Grenada	Grenada			Saint George's
GLP	Guadeloupe
GUM	Guam
GTM	Guatemala	Republic of Guatemala			Guatemala
GGY	Guernsey
GIN	Guinea	Republic of Guinea			Conakry
GNB	Guinea-Bissau	Republic of Guinea-Bissau			Bissau
GUY	Guyana	Co-operative Republic of Guyana			Georgetown
HTI	Haiti	Republic of Haiti			Port-au-Prince
VAT	Holy See	Holy See		Vatican	Vatican City
HND	Honduras	Republic of Honduras			Tegucigalpa
HUN	Hungary	Hungary			Budapest
ISL	Iceland	Republic of Iceland			Reykjavík
IND	India	Republic of India			New Delhi
IDN	Indonesia	Republic of Indonesia			Jakarta
IRN	Iran	Islamic Republic of Iran			Tehran
IRQ	Iraq	Republic of Iraq			Baghdad
IRL	Ireland	Ireland			Dublin
IMN	Isle of Man
ISR	Israel	State of Israel			Jerusalem
ITA	Italy	Italian Republic			Rome
JAM	Jamaica	Jamaica			Kingston
JPN	Japan	Japan			Tokyo
JEY	Jersey
JOR	Jordan	Hashemite Kingdom of Jordan			Amman
KAZ	Kazakhstan	Republic of Kazakhstan			Astana
KEN	Kenya	Republic of Kenya			Nairobi
KIR	Kiribati	Republic of Kiribati			Tarawa
KWT	Kuwait	State of Kuwait			Kuwait
KGZ	Kyrgyzstan	Kyrgyz Republic			Bishkek
LAO	Laos	Lao People's Democratic Republic			Vientiane
LVA	Latvia	Republic of Latvia			Riga
LBN	Lebanon	Lebanese Republic			Beirut
LSO	Lesotho	Kingdom of Lesotho			Maseru
LBR	Liberia	Republic of Liberia			Monrovia
LBY	Libya	Libya			Tripoli
LIE	Liechtenstein	Principality of Liechtenstein			Vaduz
LTU	Lithuania	Republic of Lithuania			Vilnius
LUX	Luxembourg	Grand Duchy of Luxembourg			Luxembourg
MDG	Madagascar	Republic of Madagascar			Antananarivo
MWI	Malawi	Republic of Malawi			Lilongwe
MYS	Malaysia	Malaysia			Kuala Lumpur
MDV	Maldives	Republic of Maldives			Male
MLI	Mali	Republic of Mali			Bamako
MLT	Malta	Republic of Malta			Valletta
MHL	Marshall Islands	Republic of the Marshall Islands			Majuro
MTQ	Martinique
MRT	Mauritania	Islamic Republic of Mauritania			Nouakchott
MUS	Mauritius	Republic of Mauritius			Port Louis
MYT	Mayotte
MEX	Mexico	United Mexican States			Mexico
FSM	Micronesia	Federated States of Micronesia			Palikir
MCO	Monaco	Principality of Monaco			Monaco
MNG	Mongolia	Mongolia			Ulaanbaatar
MNE	Montenegro	Montenegro			Podgorica
MSR	Montserrat
MAR	Morocco	Kingdom of Morocco			Rabat
MOZ	Mozambique	Republic of Mozambique			Maputo
MMR	Myanmar	Republic of the Union of Myanmar		Burma	Rangoon
NAM	Namibia	Republic of Namibia			Windhoek
NRU	Nauru	Republic of Nauru			Yaren District
NPL	Nepal	Federal Democratic Republic of Nepal			Kathmandu
NLD	Netherlands	Kingdom of the Netherlands			Amsterdam
NCL	New Caledonia
NZL	New Zealand	New Zealand			Wellington
NIC	Nicaragua	Republic of Nicaragua			Managua
NER	Niger	Republic of Niger			Niamey
NGA	Nigeria	Federal Republic of Nigeria			Abuja
NIU	Niue
NFK	Norfolk Island
MNP	Northern Mariana Islands
NOR	Norway	Kingdom of Norway			Oslo
OMN	Oman	Sultanate of Oman			Muscat
PAK	Pakistan	Islamic Republic of Pakistan			Islamabad
PLW	Palau	Republic of Palau			Melekeok
PAN	Panama	Republic of Panama			Panama
PNG	Papua New Guinea	Independent State of Papua New Guinea			Port Moresby
PRY	Paraguay	Republic of Paraguay			Asunción
PER	Peru	Republic of Peru			Lima
PHL	Philippines	Republic of the Philippines			Manila
PCN	Pitcairn
POL	Poland	Republic of Poland			Warsaw
PRT	Portugal	Portuguese Republic			Lisbon
PRI	Puerto Rico
QAT	Qatar	State of Qatar			Doha
KOR	South Korea	Republic of Korea	Rep		Seoul
MDA	Moldova	Republic of Kosovo			Pristina
REU	Réunion			Reunion
ROU	Romania	Romania			Bucharest
RUS	Russia	Russian Federation	USSR	Soviet Union	Moscow
RWA	Rwanda	Republic of Rwanda			Kigali
BLM	Saint-Barthélemy			Saint Barthelemy
SHN	Saint Helena
KNA	Saint Kitts and Nevis	Federation of Saint Kitts and Nevis			Basseterre
LCA	Saint Lucia	Saint Lucia			Castries
MAF	Saint Martin (French part)
SPM	Saint Pierre and Miquelon
VCT	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines			Kingstown
WSM	Samoa	Independent State of Samoa			Apia
SMR	San Marino	Republic of San Marino			San Marino
STP	Sao Tome and Principe	Democratic Republic of Sao Tome and Principe			São Tomé
SAU	Saudi Arabia	Kingdom of Saudi Arabia			Riyadh
SEN	Senegal	Republic of Senegal			Dakar
SRB	Serbia	Republic of Serbia			Belgrade
SYC	Seychelles	Republic of Seychelles			Victoria
SLE	Sierra Leone	Republic of Sierra Leone			Freetown
SGP	Singapore	Republic of Singapore			Singapore
SXM	Sint Maarten (Dutch part)
SVK	Slovakia	Slovak Republic			Bratislava
SVN	Slovenia	Republic of Slovenia			Ljubljana
SLB	Solomon Islands	Solomon Islands			Honiara
SOM	Somalia	Federal Republic of Somalia			Mogadishu
ZAF	South Africa	Republic of South Africa			Pretoria
SSD	South Sudan	Republic of South Sudan			Juba
ESP	Spain	Kingdom of Spain			Madrid
LKA	Sri Lanka	Democratic Socialist Republic of Sri Lanka			Colombo
PSE	State of Palestine
SDN	Sudan	Republic of the Sudan			Khartoum
SUR	Suriname	Republic of Suriname			Paramaribo
SJM	Svalbard	Svalbard and Jan Mayen Islands
SWZ	Swaziland	Kingdom of Swaziland			Mbabane
SWE	Sweden	Kingdom of Sweden			Stockholm
CHE	Switzerland	Swiss Confederation			Bern
SYR	Syria	Syrian Arab Republic			Damascus
TJK	Tajikistan	Republic of Tajikistan			Dushanbe
THA	Thailand	Kingdom of Thailand			Bangkok
MKD	Macedonia	Republic of Macedonia		The Former Yugoslav Republic of Macedonia	Skopje
TLS	Timor-Leste	Democratic Republic of Timor-Leste			Dili
TGO	Togo	Togolese Republic			Lomé
TKL	Tokelau
TON	Tonga	Kingdom of Tonga			Nuku'alofa
TTO	Trinidad and Tobago	Republic of Trinidad and Tobago			Port of Spain
TUN	Tunisia	Republic of Tunisia			Tunis
TUR	Turkey	Republic of Turkey			Ankara
TKM	Turkmenistan	Turkmenistan			Ashgabat
TCA	Turks and Caicos Islands
